,train,val,test
0,1002180_32088_30016_256.jpeg,1002184_26200_20544_256.jpeg,1002198_23640_9792_256.jpeg
1,1002199_24920_15936_256.jpeg,1002200_19800_11584_256.jpeg,1002174_24408_19008_256.jpeg
2,1002194_15704_32832_256.jpeg,1002192_24408_23104_256.jpeg,1002175_10328_21824_256.jpeg
3,1002189_34648_10816_256.jpeg,1002194_32600_13888_256.jpeg,1002174_18776_36672_256.jpeg
4,1002182_17240_23360_256.jpeg,1002187_11096_14656_256.jpeg,1002195_30040_14400_256.jpeg
5,1002204_34392_21824_256.jpeg,1002192_16216_40256_256.jpeg,1002180_34648_37696_256.jpeg
6,1002175_37208_32320_256.jpeg,1002184_33880_19008_256.jpeg,1002196_24920_9280_256.jpeg
7,1002177_8280_38208_256.jpeg,1002179_35928_25920_256.jpeg,1002176_16472_29248_256.jpeg
8,1002196_31576_10048_256.jpeg,1002203_36184_12352_256.jpeg,1002185_25944_10816_256.jpeg
9,1002195_18008_21312_256.jpeg,1002195_23640_20288_256.jpeg,1002193_24408_36672_256.jpeg
10,1002173_16472_25152_256.jpeg,1002204_26712_13632_256.jpeg,1002192_15448_14144_256.jpeg
11,1002190_21080_25152_256.jpeg,1002203_24664_21056_256.jpeg,1002186_32856_19264_256.jpeg
12,1002174_24920_38720_256.jpeg,1002173_16984_11072_256.jpeg,1002176_17240_21824_256.jpeg
13,1002202_37976_32320_256.jpeg,1002182_35160_36928_256.jpeg,1002186_38232_36416_256.jpeg
14,1002181_32856_19264_256.jpeg,1002177_22616_16960_256.jpeg,1002189_9048_27968_256.jpeg
15,1002195_31064_27456_256.jpeg,1002178_13400_34880_256.jpeg,1002200_30040_25152_256.jpeg
16,1002192_17752_26176_256.jpeg,1002199_18008_31808_256.jpeg,1002174_25176_27456_256.jpeg
17,1002177_31320_22848_256.jpeg,1002187_30808_39744_256.jpeg,1002190_15960_36416_256.jpeg
18,1002197_31320_37952_256.jpeg,1002202_38744_32064_256.jpeg,1002185_15192_38976_256.jpeg
19,1002175_29016_32320_256.jpeg,1002176_19800_28992_256.jpeg,1002196_26456_27968_256.jpeg
20,1002196_7512_40000_256.jpeg,1002183_22872_36928_256.jpeg,1002199_7256_17728_256.jpeg
21,1002195_19544_38208_256.jpeg,1002192_18008_38976_256.jpeg,1002182_39256_18240_256.jpeg
22,1002194_20056_16960_256.jpeg,1002198_36440_29248_256.jpeg,1002197_24664_14656_256.jpeg
23,1002192_29016_33856_256.jpeg,1002184_23128_12864_256.jpeg,1002188_38488_18240_256.jpeg
24,1002202_9304_26688_256.jpeg,1002197_30552_36928_256.jpeg,1002190_8280_28992_256.jpeg
25,1002195_29784_18496_256.jpeg,1002182_21080_32320_256.jpeg,1002184_28760_9280_256.jpeg
26,1002186_28248_15168_256.jpeg,1002176_36184_14400_256.jpeg,1002200_11096_28736_256.jpeg
27,1002203_22616_38720_256.jpeg,1002180_35416_38208_256.jpeg,1002179_8280_31552_256.jpeg
28,1002197_19288_12608_256.jpeg,1002197_18520_38720_256.jpeg,1002204_28248_14912_256.jpeg
29,1002184_25432_24640_256.jpeg,1002189_18264_15680_256.jpeg,1002203_9816_40256_256.jpeg
30,1002183_34648_27456_256.jpeg,1002180_19544_30528_256.jpeg,1002203_21848_28480_256.jpeg
31,1002187_35928_22592_256.jpeg,1002197_8024_25664_256.jpeg,1002176_23640_13632_256.jpeg
32,1002190_15960_32064_256.jpeg,1002192_34904_36416_256.jpeg,1002183_24408_13888_256.jpeg
33,1002195_9560_28992_256.jpeg,1002177_19288_9024_256.jpeg,1002179_11352_12864_256.jpeg
34,1002194_30296_30784_256.jpeg,1002194_13656_40256_256.jpeg,1002174_13656_27200_256.jpeg
35,1002192_30040_21824_256.jpeg,1002176_13656_40000_256.jpeg,1002204_16216_30272_256.jpeg
36,1002183_37720_20544_256.jpeg,1002196_21592_22592_256.jpeg,1002194_33368_35392_256.jpeg
37,1002186_20568_37184_256.jpeg,1002187_12888_22848_256.jpeg,1002186_9816_22336_256.jpeg
38,1002184_37464_39488_256.jpeg,1002194_36440_21824_256.jpeg,1002203_22104_34880_256.jpeg
39,1002201_31064_10048_256.jpeg,1002178_13912_20544_256.jpeg,1002196_18520_26432_256.jpeg
40,1002181_10328_19776_256.jpeg,1002184_18008_30016_256.jpeg,1002177_30296_11584_256.jpeg
41,1002174_14936_25408_256.jpeg,1002178_37208_13120_256.jpeg,1002193_15448_28736_256.jpeg
42,1002195_11608_25408_256.jpeg,1002194_29784_23616_256.jpeg,1002189_19032_22336_256.jpeg
43,1002188_12376_38976_256.jpeg,1002188_25432_30528_256.jpeg,1002200_35416_12096_256.jpeg
44,1002196_18264_14400_256.jpeg,1002188_19544_22336_256.jpeg,1002176_13912_22848_256.jpeg
45,1002185_34904_10304_256.jpeg,1002188_29784_16960_256.jpeg,1002200_24152_13120_256.jpeg
46,1002195_27992_38208_256.jpeg,1002202_23896_23616_256.jpeg,1002184_27736_21568_256.jpeg
47,1002185_29784_17472_256.jpeg,1002178_33880_16960_256.jpeg,1002199_16216_36416_256.jpeg
48,1002173_16984_26944_256.jpeg,1002182_33880_38976_256.jpeg,1002202_11096_10048_256.jpeg
49,1002185_18776_9280_256.jpeg,1002185_37464_14144_256.jpeg,1002183_31832_33600_256.jpeg
50,1002187_37720_34880_256.jpeg,1002186_33624_14656_256.jpeg,1002183_35672_24128_256.jpeg
51,1002174_13656_23872_256.jpeg,1002193_13144_13888_256.jpeg,1002185_31832_9280_256.jpeg
52,1002192_27224_15936_256.jpeg,1002178_12120_23360_256.jpeg,1002186_32600_15424_256.jpeg
53,1002188_8536_9280_256.jpeg,1002177_12632_15168_256.jpeg,1002185_37464_16704_256.jpeg
54,1002198_38488_18496_256.jpeg,1002198_33368_28992_256.jpeg,1002203_22616_24384_256.jpeg
55,1002204_21080_21568_256.jpeg,1002182_17496_22848_256.jpeg,1002189_33368_38208_256.jpeg
56,1002182_32344_10560_256.jpeg,1002193_28248_24640_256.jpeg,1002195_10328_21312_256.jpeg
57,1002187_26968_10816_256.jpeg,1002186_19032_30528_256.jpeg,1002196_20824_28736_256.jpeg
58,1002174_19032_16704_256.jpeg,1002204_17496_27712_256.jpeg,1002204_24664_24640_256.jpeg
59,1002182_11608_31808_256.jpeg,1002195_33624_32832_256.jpeg,1002199_15192_30016_256.jpeg
60,1002200_21080_36416_256.jpeg,1002193_24920_30784_256.jpeg,1002179_30040_19520_256.jpeg
61,1002199_10072_12352_256.jpeg,1002177_8024_34368_256.jpeg,1002190_21848_25920_256.jpeg
62,1002175_34648_12352_256.jpeg,1002193_16472_25664_256.jpeg,1002188_27992_23104_256.jpeg
63,1002194_10840_18240_256.jpeg,1002199_13912_37952_256.jpeg,1002188_12888_32832_256.jpeg
64,1002197_14680_12096_256.jpeg,1002203_14168_11584_256.jpeg,1002200_20056_19520_256.jpeg
65,1002196_24408_25920_256.jpeg,1002179_28248_11328_256.jpeg,1002195_33368_19008_256.jpeg
66,1002200_27224_21824_256.jpeg,1002181_26712_32576_256.jpeg,1002201_34904_14912_256.jpeg
67,1002185_12376_40000_256.jpeg,1002176_15704_25920_256.jpeg,1002201_20312_38976_256.jpeg
68,1002180_13144_26944_256.jpeg,1002176_7256_33088_256.jpeg,1002185_26456_21056_256.jpeg
69,1002178_18520_14144_256.jpeg,1002184_20056_21056_256.jpeg,1002190_17752_33344_256.jpeg
70,1002199_25176_10048_256.jpeg,1002184_37720_23616_256.jpeg,1002200_35928_36160_256.jpeg
71,1002197_37464_30016_256.jpeg,1002203_8280_18240_256.jpeg,1002174_16984_39232_256.jpeg
72,1002189_25176_15936_256.jpeg,1002201_11352_34880_256.jpeg,1002193_31576_35648_256.jpeg
73,1002194_8024_9792_256.jpeg,1002177_31320_31296_256.jpeg,1002186_22872_39744_256.jpeg
74,1002181_25688_32832_256.jpeg,1002176_22360_31296_256.jpeg,1002193_19288_25664_256.jpeg
75,1002199_23384_33856_256.jpeg,1002196_29528_19008_256.jpeg,1002179_16216_37952_256.jpeg
76,1002184_34648_37696_256.jpeg,1002176_37208_34112_256.jpeg,1002187_15192_19776_256.jpeg
77,1002189_20312_10816_256.jpeg,1002178_30296_11840_256.jpeg,1002198_8792_21312_256.jpeg
78,1002192_37464_25664_256.jpeg,1002194_37976_8512_256.jpeg,1002187_11096_22592_256.jpeg
79,1002178_22360_26176_256.jpeg,1002199_32600_9280_256.jpeg,1002188_9304_10816_256.jpeg
80,1002181_30040_11328_256.jpeg,1002201_35672_33344_256.jpeg,1002186_37208_23616_256.jpeg
81,1002192_19288_31552_256.jpeg,1002204_9304_34368_256.jpeg,1002202_26712_20800_256.jpeg
82,1002189_23896_14400_256.jpeg,1002195_19800_9536_256.jpeg,1002190_14936_14400_256.jpeg
83,1002189_10328_11328_256.jpeg,1002204_9816_33600_256.jpeg,1002179_9304_10304_256.jpeg
84,1002180_32088_39232_256.jpeg,1002180_27992_24384_256.jpeg,1002179_7768_9024_256.jpeg
85,1002184_18520_16960_256.jpeg,1002181_9048_8000_256.jpeg,1002200_34136_28480_256.jpeg
86,1002189_12120_33856_256.jpeg,1002188_32600_17728_256.jpeg,1002202_15960_12096_256.jpeg
87,1002197_16728_26432_256.jpeg,1002189_38488_36928_256.jpeg,1002174_18264_16704_256.jpeg
88,1002179_26456_36928_256.jpeg,1002179_19800_32064_256.jpeg,1002192_7000_33856_256.jpeg
89,1002189_13144_37952_256.jpeg,1002202_26456_21056_256.jpeg,1002192_24152_20032_256.jpeg
90,1002184_26968_10560_256.jpeg,1002182_19288_28480_256.jpeg,1002197_30552_16960_256.jpeg
91,1002183_12376_24128_256.jpeg,1002194_14168_12096_256.jpeg,1002177_24152_37184_256.jpeg
92,1002201_18520_40256_256.jpeg,1002202_19544_17984_256.jpeg,1002199_32600_30272_256.jpeg
93,1002176_9304_31552_256.jpeg,1002176_8792_21056_256.jpeg,1002176_20312_19008_256.jpeg
94,1002198_32856_37440_256.jpeg,1002197_8024_15680_256.jpeg,1002193_16216_9024_256.jpeg
95,1002186_18008_40000_256.jpeg,1002202_27480_30784_256.jpeg,1002179_28504_28992_256.jpeg
96,1002190_38744_14912_256.jpeg,1002178_19544_12096_256.jpeg,1002189_10328_36672_256.jpeg
97,1002192_37720_19520_256.jpeg,1002174_17496_34368_256.jpeg,1002201_20568_40000_256.jpeg
98,1002197_21336_20032_256.jpeg,1002184_20568_23616_256.jpeg,1002188_11864_8512_256.jpeg
99,1002173_24152_13632_256.jpeg,1002196_36696_22592_256.jpeg,1002189_7256_24128_256.jpeg
100,1002203_31576_27456_256.jpeg,,
101,1002189_16216_28736_256.jpeg,,
102,1002177_21080_15680_256.jpeg,,
103,1002203_35928_9792_256.jpeg,,
104,1002189_8280_16448_256.jpeg,,
105,1002202_8536_15680_256.jpeg,,
106,1002200_22104_11840_256.jpeg,,
107,1002188_27992_40000_256.jpeg,,
108,1002181_31832_18752_256.jpeg,,
109,1002192_29272_14400_256.jpeg,,
110,1002198_14424_33600_256.jpeg,,
111,1002201_38744_36160_256.jpeg,,
112,1002180_30808_26944_256.jpeg,,
113,1002178_12888_16704_256.jpeg,,
114,1002194_18776_40256_256.jpeg,,
115,1002202_31064_33856_256.jpeg,,
116,1002179_35672_11072_256.jpeg,,
117,1002204_8536_30272_256.jpeg,,
118,1002199_39256_23616_256.jpeg,,
119,1002201_10072_35648_256.jpeg,,
120,1002196_21592_22592_256.jpeg,,
121,1002180_7512_9280_256.jpeg,,
122,1002188_20056_24128_256.jpeg,,
123,1002176_26712_31552_256.jpeg,,
124,1002175_27992_12096_256.jpeg,,
125,1002202_38488_22848_256.jpeg,,
126,1002173_14680_34368_256.jpeg,,
127,1002177_12376_27456_256.jpeg,,
128,1002204_7000_37440_256.jpeg,,
129,1002201_14168_16448_256.jpeg,,
130,1002204_13144_30016_256.jpeg,,
131,1002179_31320_36928_256.jpeg,,
132,1002179_39000_23360_256.jpeg,,
133,1002202_29272_34880_256.jpeg,,
134,1002200_32856_34112_256.jpeg,,
135,1002177_18520_38464_256.jpeg,,
136,1002201_33880_19264_256.jpeg,,
137,1002200_27736_10560_256.jpeg,,
138,1002194_21848_30784_256.jpeg,,
139,1002188_29528_12096_256.jpeg,,
140,1002199_20568_11840_256.jpeg,,
141,1002185_33624_37952_256.jpeg,,
142,1002199_24664_32832_256.jpeg,,
143,1002173_8024_16704_256.jpeg,,
144,1002192_18520_33088_256.jpeg,,
145,1002188_35928_35392_256.jpeg,,
146,1002199_32600_33600_256.jpeg,,
147,1002198_9304_17728_256.jpeg,,
148,1002177_25944_26944_256.jpeg,,
149,1002178_24920_15168_256.jpeg,,
150,1002173_26968_26176_256.jpeg,,
151,1002189_9560_16192_256.jpeg,,
152,1002183_15960_21824_256.jpeg,,
153,1002182_14936_9024_256.jpeg,,
154,1002182_9048_18752_256.jpeg,,
155,1002179_21336_15424_256.jpeg,,
156,1002180_30040_11840_256.jpeg,,
157,1002190_20312_17472_256.jpeg,,
158,1002180_24664_11840_256.jpeg,,
159,1002196_9304_28224_256.jpeg,,
160,1002202_39000_29760_256.jpeg,,
161,1002200_35672_13888_256.jpeg,,
162,1002194_11608_14400_256.jpeg,,
163,1002192_11096_33856_256.jpeg,,
164,1002181_20312_21056_256.jpeg,,
165,1002203_27480_36416_256.jpeg,,
166,1002200_9560_10816_256.jpeg,,
167,1002185_12120_26432_256.jpeg,,
168,1002181_38744_23104_256.jpeg,,
169,1002175_7000_24640_256.jpeg,,
170,1002182_8024_19776_256.jpeg,,
171,1002192_16216_14144_256.jpeg,,
172,1002201_34136_17728_256.jpeg,,
173,1002186_11096_40256_256.jpeg,,
174,1002186_36696_11328_256.jpeg,,
175,1002192_30296_37696_256.jpeg,,
176,1002196_7256_35904_256.jpeg,,
177,1002173_27224_16448_256.jpeg,,
178,1002202_20312_40000_256.jpeg,,
179,1002200_22616_10560_256.jpeg,,
180,1002188_35672_34880_256.jpeg,,
